id,symbol,name,price_usd,market_cap,market_cap_rank,total_volume,price_change_24h_pct,last_updated
bitcoin,btc,Bitcoin,79737.0,1601446822555,1,24015930378,0.3063,2026-09-05T12:57:20.000Z
ethereum,eth,Ethereum,2459.16,300141452816,2,8863942290,0.25185,2026-09-05T12:57:20.000Z
tether,usdt,Tether,1.0,183404338651,3,46697287168,0.01018,2026-09-05T12:57:20.000Z
binancecoin,bnb,BNB,762.69,101565255772,4,1560006208,6.53922,2026-09-05T12:57:20.000Z
ripple,xrp,XRP,1.41,88836637876,5,1838557874,0.25549,2026-09-05T12:57:20.000Z
usd-coin,usdc,USDC,0.999996,74600619296,6,12605225604,0.00625,2026-09-05T12:57:20.000Z
solana,sol,Solana,103.11,60365474174,7,2442926950,1.44089,2026-09-05T12:57:20.000Z
tron,trx,TRON,0.333093,31622461200,8,293635363,1.4156,2026-09-05T12:57:20.000Z
figure-heloc,figr_heloc,Figure Heloc,1.039,23126435270,9,22645694,0.66114,2026-09-05T12:57:20.000Z
hyperliquid,hype,Hyperliquid,85.22,18955236474,10,1009342576,-0.45136,2026-09-05T12:57:20.000Z
zcash,zec,Zcash,1013.5,17143568891,11,1036704774,2.67498,2026-09-05T12:57:20.000Z
dogecoin,doge,Dogecoin,0.087283,13618922913,12,637668773,2.56766,2026-09-05T12:57:20.000Z
rain,rain,Rain,0.01642676,11650348315,13,43179461,-1.27589,2026-09-05T12:57:20.000Z
monero,xmr,Monero,544.65,10218513615,14,138438483,3.59837,2026-09-05T12:57:20.000Z
usds,usds,USDS,0.999739,9810036239,15,178754399,-0.01484,2026-09-05T12:57:20.000Z
chainlink,link,Chainlink,11.83,8857259247,16,339266462,1.48904,2026-09-05T12:57:20.000Z
whitebit,wbt,WhiteBIT Coin,73.24,8639153448,17,55764466,0.33191,2026-09-05T12:57:20.000Z
leo-token,leo,LEO Token,9.26,8518851493,18,271810,0.10802,2026-09-05T12:57:20.000Z
cardano,ada,Cardano,0.21627,8116491003,19,426289135,0.78225,2026-09-05T12:57:20.000Z
stellar,xlm,Stellar,0.18457,6430166235,20,120688194,2.51794,2026-09-05T12:57:20.000Z
